Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,standardised_smiles,Identifier
Methyl decanoate,-3.3160000000000003,1.0,186.295,0.0,0.0,8.0,26.3,-4.69,CCCCCCCCCC(=O)OC,[472]
Ethyl decanoate,-3.671,1.0,200.322,0.0,0.0,9.0,26.3,-4.1,CCCCCCCCCC(=O)OCC,[347]
2-Undecanol,-3.096,1.0,172.312,1.0,0.0,8.0,20.23,-2.94,CCCCCCCCCC(C)O,[19]
methyl laurate,-4.025,1.0,214.349,0.0,0.0,10.0,26.3,-4.69,CCCCCCCCCCCC(=O)OC,[817]
Tetradecane,-5.45,1.0,198.39399999999995,0.0,0.0,11.0,0.0,-7.96,CCCCCCCCCCCCCC,[14]
Hexadecane,-6.159,1.0,226.44799999999992,0.0,0.0,13.0,0.0,-8.4,CCCCCCCCCCCCCCCC,[975]
Eicosane,-7.576,1.0,282.5559999999999,0.0,0.0,17.0,0.0,-8.172,CCCCCCCCCCCCCCCCCCCC,[1097]
hexacosane,-9.702,1.0,366.7180000000002,0.0,0.0,23.0,0.0,-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC,[299]
1-Octadecanol,-5.649,1.0,270.50099999999986,1.0,0.0,16.0,20.23,-8.4,CCCCCCCCCCCCCCCCCCO,[788]
1-Hexadecanol,-4.94,1.0,242.44699999999992,1.0,0.0,14.0,20.23,-7.0,CCCCCCCCCCCCCCCCO,[316]
1-Pentadecanol,-4.586,1.0,228.42,1.0,0.0,13.0,20.23,-6.35,CCCCCCCCCCCCCCCO,[969]
1-Tetradecanol,-4.231,1.0,214.393,1.0,0.0,12.0,20.23,-5.84,CCCCCCCCCCCCCCO,[783]
1-Dodecanol,-3.523,1.0,186.339,1.0,0.0,10.0,20.23,-4.8,CCCCCCCCCCCCO,[924]
1-Decanol,-2.814,1.0,158.285,1.0,0.0,8.0,20.23,-3.63,CCCCCCCCCCO,[1062]
1-Nonanol,-2.46,1.0,144.258,1.0,0.0,7.0,20.23,-3.01,CCCCCCCCCO,[613]
1-Octanol,-2.105,1.0,130.23100000000002,1.0,0.0,6.0,20.23,-2.39,CCCCCCCCO,[435]
dioctyl phthalate,-7.148,1.0,390.5640000000004,0.0,1.0,16.0,52.60000000000001,-5.115,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,[968]
1-Chloroheptane,-3.003,1.0,134.65,0.0,0.0,5.0,0.0,-4.0,CCCCCCCCl,[284]
1-Iodoheptane,-3.904,1.0,226.101,0.0,0.0,5.0,0.0,-4.81,CCCCCCCI,[39]
1-Heptanol,-1.751,1.0,116.204,1.0,0.0,5.0,20.23,-1.81,CCCCCCCO,[25]
1-Chlorohexane,-2.648,1.0,120.623,0.0,0.0,4.0,0.0,-3.12,CCCCCCCl,[296]
1-Hexanol,-1.3969999999999998,1.0,102.177,1.0,0.0,4.0,20.23,-1.24,CCCCCCO,[152]
Dihexyl phthalate,-5.757999999999999,1.0,334.45600000000024,0.0,1.0,12.0,52.60000000000001,-6.144,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,[557]
4-hexylresorcinol,-3.4930000000000003,1.0,194.27399999999992,2.0,1.0,5.0,40.46,-2.59,CCCCCCc1ccc(O)cc1O,[847]
Hexylbenzene ,-4.22,1.0,162.276,0.0,1.0,5.0,0.0,-5.21,CCCCCCc1ccccc1,[118]
1-Chloropentane,-2.294,1.0,106.596,0.0,0.0,3.0,0.0,-2.73,CCCCCCl,[153]
1-Pentanol,-1.042,1.0,88.14999999999999,1.0,0.0,3.0,20.23,-0.6,CCCCCO,[460]
Ethyl butyrate,-2.254,1.0,144.21399999999997,0.0,0.0,5.0,26.3,-1.28,CCCCCOC(=O)CC,[635]
Pentyl acetate,-1.833,1.0,130.18699999999998,0.0,0.0,4.0,26.3,-1.89,CCCCCOC(C)=O,[1077]
Pentylbenzene,-3.899,1.0,148.249,0.0,1.0,4.0,0.0,-4.64,CCCCCc1ccccc1,[447]
1-Chlorobutane,-1.94,1.0,92.569,0.0,0.0,2.0,0.0,-2.03,CCCCCl,[620]
1-Iodobutane,-2.841,1.0,184.02,0.0,0.0,2.0,0.0,-2.96,CCCCI,[553]
Neburon,-4.157,1.0,275.179,1.0,1.0,4.0,32.34,-4.77,CCCCN(C)C(O)=Nc1ccc(Cl)c(Cl)c1,[369]
Pebulate,-3.131,1.0,203.351,0.0,0.0,6.0,20.31,-3.53,CCCCN(CC)C(=O)SCCC,[574]
Benfluralin,-5.205,1.0,335.28200000000004,0.0,1.0,7.0,89.51999999999998,-5.53,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[833]
Benomyl,-2.902,1.0,290.323,2.0,2.0,4.0,85.25,-4.883,CCCCN=C(O)n1c(N=C(O)OC)nc2ccccc21,[990]
1-Butanol,-0.688,1.0,74.12299999999999,1.0,0.0,2.0,20.23,0.0,CCCCO,[520]
Methyl butyl ether ,-1.072,1.0,88.14999999999999,0.0,0.0,3.0,9.23,-0.99,CCCCOC,[684]
dibutyl sebacate,-4.726,1.0,314.46600000000007,0.0,0.0,15.0,52.60000000000001,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,[214]
Butamben,-3.039,1.0,193.246,1.0,1.0,4.0,52.32,-3.082,CCCCOC(=O)c1ccc(N)cc1,[163]
dibutylphthalate,-4.378,1.0,278.348,0.0,1.0,8.0,52.60000000000001,-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC,[290]
Butyl acetate,-1.111,1.0,102.13299999999998,0.0,0.0,4.0,26.3,-1.37,CCCCOC=O,[575]
Dibutyl ether ,-2.135,1.0,130.231,0.0,0.0,6.0,9.23,-1.85,CCCCOCCCC,[923]
2-Butoxyethanol,-0.775,1.0,118.176,1.0,0.0,5.0,29.46,-0.42,CCCCOCCO,[653]
butachlor,-4.347,1.0,311.85300000000007,0.0,1.0,9.0,29.54,-4.19,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,[375]
stadacaine,-5.127999999999999,1.0,293.40700000000004,0.0,1.0,9.0,38.77,-3.84,CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,[928]
Butanethiol ,-1.676,1.0,90.191,1.0,0.0,2.0,0.0,-2.18,CCCCS,[1003]
DEF,-4.074,1.0,314.5220000000001,0.0,0.0,12.0,17.07,-5.14,CCCCSP(=O)(SCCCC)SCCCC,[759]
dimethirimol,-3.57,1.0,209.293,1.0,1.0,4.0,49.25000000000001,-2.24,CCCCc1c(C)nc(N(C)C)nc1O,[126]
oxyphenbutazone,-3.739,1.0,324.38000000000005,1.0,3.0,5.0,60.85000000000001,-3.73,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,[728]
phenylbutazone,-4.0760000000000005,1.0,308.38100000000003,0.0,3.0,5.0,40.620000000000005,-3.81,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,[418]
Ethirimol,-2.732,1.0,209.293,2.0,1.0,5.0,57.78,-3.028,CCCCc1c(O)nc(=NCC)[nH]c1C,[570]
bupirimate,-3.4930000000000003,1.0,316.4270000000001,1.0,1.0,8.0,84.42,-4.16,CCCCc1c(OS(=O)(=O)N(C)C)nc(=NCC)[nH]c1C,[807]
Butylbenzene,-3.585,1.0,134.22199999999998,0.0,1.0,3.0,0.0,-4.06,CCCCc1ccccc1,[1114]
1-Chloropropane,-1.585,1.0,78.542,0.0,0.0,1.0,0.0,-1.47,CCCCl,[209]
1-Iodopropane,-2.486,1.0,169.993,0.0,0.0,1.0,0.0,-2.29,CCCI,[538]
Isopropalin,-5.306,1.0,309.36600000000004,0.0,1.0,8.0,89.51999999999998,-6.49,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],[303]
Trifluralin,-5.205,1.0,335.28200000000004,0.0,1.0,7.0,89.51999999999998,-5.68,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[982]
oryzalin,-3.784,1.0,346.3650000000001,1.0,1.0,8.0,149.67999999999998,-5.16,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],[1033]
1-Propanol,-0.3339999999999999,1.0,60.096,1.0,0.0,1.0,20.23,0.62,CCCO,[540]
Methyl propyl ether ,-0.718,1.0,74.12299999999999,0.0,0.0,2.0,9.23,-0.39,CCCOC,[712]
Methyl butyrate,-1.545,1.0,116.15999999999998,0.0,0.0,3.0,26.3,-0.82,CCCOC(=O)CC,[61]
Ethyl pentanoate,-1.899,1.0,130.18699999999998,0.0,0.0,4.0,26.3,-1.75,CCCOC(=O)CCC,[328]
Risocaine,-2.709,1.0,179.21899999999997,1.0,1.0,3.0,52.32,-2.452,CCCOC(=O)c1ccc(N)cc1,[803]
Propyl acetate,-1.125,1.0,102.13299999999998,0.0,0.0,2.0,26.3,-0.72,CCCOC(C)=O,[155]
Propylisopropylether,-1.354,1.0,102.17699999999998,0.0,0.0,3.0,9.23,-1.34,CCCOC(C)C,[93]
Propyl formate,-0.757,1.0,88.10599999999998,0.0,0.0,3.0,26.3,-0.49,CCCOC=O,[332]
Ethyl propyl ether,-1.072,1.0,88.14999999999999,0.0,0.0,3.0,9.23,-0.66,CCCOCC,[349]
Dipropyl ether,-1.426,1.0,102.177,0.0,0.0,4.0,9.23,-1.62,CCCOCCC,[782]
Piperophos,-4.637,1.0,353.4900000000001,0.0,1.0,9.0,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,[38]
Di-n-propylsulfide,-2.307,1.0,118.245,0.0,0.0,4.0,0.0,-2.58,CCCSCCC,[818]
1-Nitropropane,-0.816,1.0,89.09399999999998,0.0,0.0,2.0,43.14,-0.8,CCC[N+](=O)[O-],[87]
Apazone,-2.9,1.0,300.3620000000001,0.0,3.0,2.0,56.220000000000006,-3.5380000000000003,CCCc1c(O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,[745]
Propylbenzene ,-3.281,1.0,120.19499999999996,0.0,1.0,2.0,0.0,-3.37,CCCc1ccccc1,[1079]
Chloroethane,-1.165,1.0,64.515,0.0,0.0,0.0,0.0,-1.06,CCCl,[1088]
Iodoethane,-2.066,1.0,155.966,0.0,0.0,0.0,0.0,-1.6,CCI,[475]
Napropamide,-4.088,1.0,271.36,0.0,2.0,5.0,29.540000000000003,-3.57,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,[607]
Dimecron,-2.426,1.0,299.6909999999999,0.0,0.0,8.0,65.07000000000001,0.523,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,[292]
Azintamide,-2.231,1.0,259.762,0.0,1.0,5.0,46.09,-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1,[326]
Disulfiram,-3.862,1.0,296.5520000000001,0.0,0.0,4.0,6.48,-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC,[430]
Dinitramine,-4.479,1.0,322.243,1.0,1.0,5.0,115.54000000000002,-5.47,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],[24]
"N,N-Diethylaniline",-3.16,1.0,149.237,0.0,1.0,3.0,3.24,-3.03,CCN(CC)c1ccccc1,[461]
Ipazine,-3.497,1.0,243.742,1.0,1.0,5.0,53.940000000000005,-3.785,CCN(CC)c1nc(Cl)nc(=NC(C)C)[nH]1,[245]
Chlorazine,-3.663,1.0,257.76899999999995,0.0,1.0,6.0,45.150000000000006,-4.4110000000000005,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,[421]
Flumetralin,-6.584,1.0,421.7340000000001,0.0,2.0,6.0,89.51999999999998,-6.78,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[893]
RTI 9,-3.784,1.0,239.274,0.0,3.0,1.0,29.54,-3.68,CCN1C(=O)c2ccccc2Oc2ccccc21,[809]
RTI 2,-3.125,1.0,268.32,0.0,3.0,2.0,49.330000000000005,-2.86,CCN1C(=O)c2cccnc2N(CC)c2ncccc21,[442]
RTI 24,-4.423,1.0,273.723,1.0,3.0,1.0,45.23,-5.36,CCN1c2cc(Cl)ccc2N=C(O)c2cccnc21,[89]
RTI 22,-4.408,1.0,296.374,1.0,3.0,2.0,48.47,-4.871,CCN1c2cc(N(C)C)cc(C)c2N=C(O)c2cccnc21,[723]
RTI 23,-4.228,1.0,283.331,1.0,3.0,2.0,54.46,-5.153,CCN1c2cc(OC)cc(C)c2N=C(O)c2cccnc21,[288]
RTI 19,-4.007,1.0,252.31699999999995,0.0,3.0,1.0,23.55,-4.749,CCN1c2ccccc2C(=O)N(C)c2ccccc21,[453]
RTI 5,-3.471,1.0,253.30499999999995,0.0,3.0,1.0,36.44,-3.324,CCN1c2ccccc2N(C)C(=O)c2cccnc21,[300]
RTI 17,-4.227,1.0,269.373,0.0,3.0,1.0,19.37,-4.706,CCN1c2ccccc2N(C)C(=S)c2cccnc21,[625]
RTI 6,-3.335,1.0,313.36100000000005,2.0,3.0,4.0,81.59000000000002,-3.36,CCN1c2nc(N(C)CCO)ccc2N=C(O)c2cccnc21,[925]
RTI 12,-3.446,1.0,288.73800000000006,0.0,3.0,1.0,49.330000000000005,-4.114,CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,[951]
Reverse Transcriptase inhibitor 1,-2.794,1.0,254.293,0.0,3.0,1.0,49.330000000000005,-2.62,CCN1c2ncccc2C(=O)N(C)c2cccnc21,[250]
RTI 16,-3.411,1.0,270.361,0.0,3.0,1.0,32.260000000000005,-4.634,CCN1c2ncccc2C(=S)N(C)c2cccnc21,[808]
RTI 13,-4.45,1.0,322.29,1.0,3.0,1.0,58.120000000000005,-4.207,CCN1c2ncccc2C(O)=Nc2c(C(F)(F)F)cc(C)nc21,[858]
RTI 15,-3.891,1.0,268.32,1.0,3.0,1.0,58.120000000000005,-4.553999999999999,CCN1c2ncccc2C(O)=Nc2c(C)cc(C)nc21,[1052]
Carbetamide,-2.29,1.0,236.271,2.0,1.0,4.0,67.42999999999999,-1.83,CCN=C(O)C(C)OC(O)=Nc1ccccc1,[985]
"1,3-diethylthiourea",-1.028,1.0,132.232,2.0,0.0,2.0,24.06,-1.46,CCN=C(S)NCC,[628]
Atrazine,-3.069,1.0,215.688,2.0,1.0,4.0,62.73,-3.85,CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,[235]
simazine,-2.8110000000000004,1.0,201.661,2.0,1.0,4.0,62.73,-4.55,CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,[686]
Trietazine,-3.233,1.0,229.715,1.0,1.0,5.0,53.940000000000005,-4.06,CCN=c1nc(Cl)nc(N(CC)CC)[nH]1,[66]
Cyanazine,-2.49,1.0,240.698,2.0,1.0,4.0,86.52,-3.15,CCN=c1nc(Cl)nc(NC(C)(C)C#N)[nH]1,[864]
Terbumeton,-3.505,1.0,225.296,2.0,1.0,4.0,71.96000000000001,-3.239,CCN=c1nc(NC(C)(C)C)[nH]c(OC)n1,[1010]
Terbutryn,-3.75,1.0,241.364,2.0,1.0,4.0,62.73,-4.0,CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1,[549]
Atratone,-3.185,1.0,211.269,2.0,1.0,5.0,71.96000000000001,-2.084,CCN=c1nc(OC)[nH]c(=NC(C)C)[nH]1,[636]
Ametryn,-3.43,1.0,227.337,2.0,1.0,5.0,62.73,-3.04,CCN=c1nc(SC)[nH]c(=NC(C)C)[nH]1,[539]
Propetamphos,-2.826,1.0,281.314,1.0,0.0,7.0,56.790000000000006,-3.408,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,[204]
N-Ethylaniline,-2.389,1.0,121.18299999999996,1.0,1.0,2.0,12.03,-1.7,CCNc1ccccc1,[257]
Ethanol,0.02,1.0,46.069,1.0,0.0,0.0,20.23,1.1,CCO,[983]
O-Ethyl carbamate,-0.218,1.0,89.09400000000001,1.0,0.0,1.0,52.32,0.85,CCOC(=N)O,[253]
ethyl cinnamate,-3.0980000000000003,1.0,176.215,0.0,1.0,3.0,26.3,-3.0,CCOC(=O)C=Cc1ccccc1,[738]
Ethyl propionate,-1.1909999999999998,1.0,102.133,0.0,0.0,2.0,26.3,-0.66,CCOC(=O)CC,[903]
Malonic acid diethylester,-1.413,1.0,160.16899999999998,0.0,0.0,4.0,52.60000000000001,-0.82,CCOC(=O)CC(=O)OCC,[133]
Malathion,-3.391,1.0,330.3640000000001,0.0,0.0,9.0,71.06,-3.37,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,[354]
Benfuracarb,-5.132999999999999,1.0,410.5360000000002,0.0,2.0,8.0,68.31,-4.71,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,[529]
Mecarbam,-3.738,1.0,329.3800000000001,0.0,0.0,8.0,65.07000000000001,-2.518,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,[956]
Benzocaine,-2.383,1.0,165.19199999999998,1.0,1.0,2.0,52.32,-2.616,CCOC(=O)c1ccc(N)cc1,[246]
Ethyl-p-hydroxybenzoate ,-2.761,1.0,166.176,1.0,1.0,2.0,46.53,-2.35,CCOC(=O)c1ccc(O)cc1,[715]
Ethyl benzoate ,-2.775,1.0,150.177,0.0,1.0,2.0,26.3,-2.32,CCOC(=O)c1ccccc1,[814]
Diethyl phthalate ,-3.016,1.0,222.23999999999995,0.0,1.0,4.0,52.60000000000001,-2.35,CCOC(=O)c1ccccc1C(=O)OCC,[1072]
Chlorimuron-ethyl (ph 7),-3.719,1.0,414.82700000000017,1.0,2.0,8.0,127.79,-4.5760000000000005,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,[294]
Etomidate,-3.359,1.0,244.294,0.0,2.0,4.0,44.12,-4.735,CCOC(=O)c1cncn1C(C)c1ccccc1,[456]
Ethyl acetate,-0.77,1.0,88.106,0.0,0.0,1.0,26.3,-0.04,CCOC(C)=O,[210]
"1,1-Diethoxyethane ",-0.899,1.0,118.176,0.0,0.0,4.0,18.46,-0.43,CCOC(C)OCC,[651]
Fenoxycarb,-4.662,1.0,301.34200000000004,1.0,2.0,7.0,56.790000000000006,-4.7,CCOC(O)=NCCOc1ccc(Oc2ccccc2)cc1,[517]
Desmedipham,-4.182,1.0,300.314,2.0,2.0,4.0,76.66,-4.632,CCOC(O)=Nc1cccc(OC(O)=Nc2ccccc2)c1,[1110]
ethofumesate,-3.184,1.0,286.34900000000005,0.0,2.0,4.0,61.830000000000005,-3.42,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,[337]
Ethyl formate,-0.402,1.0,74.07900000000001,0.0,0.0,2.0,26.3,0.15,CCOC=O,[1000]
Diethyl ether ,-0.718,1.0,74.123,0.0,0.0,2.0,9.23,-0.09,CCOCC,[831]
"1,2-Diethoxyethane ",-0.833,1.0,118.176,0.0,0.0,5.0,18.46,-0.77,CCOCCOCC,[566]
Triethyl phosphate,-0.953,1.0,182.156,0.0,0.0,6.0,44.760000000000005,0.43,CCOP(=O)(OCC)OCC,[796]
Trichloronate,-5.225,1.0,333.60400000000004,0.0,1.0,5.0,18.46,-5.752000000000001,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,[184]
Isofenphos,-4.538,1.0,345.4010000000002,1.0,1.0,8.0,56.790000000000006,-4.194,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,[305]
Ditalimfos,-3.992,1.0,299.28800000000007,0.0,2.0,5.0,55.84,-3.35,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,[1085]
Phoxim,-4.557,1.0,298.304,0.0,1.0,7.0,63.84,-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,[203]
Diazinon,-3.989,1.0,304.35200000000003,0.0,1.0,7.0,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,[18]
fensulfothion,-3.283,1.0,308.36100000000005,0.0,1.0,7.0,44.760000000000005,-2.3,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,[748]
Parathion,-3.949,1.0,291.26500000000004,0.0,1.0,7.0,70.83000000000001,-4.66,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,[933]
Coumaphos,-5.04,1.0,362.7710000000001,0.0,2.0,6.0,57.9,-5.382000000000001,CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1,[849]
chlorpyrifos,-4.972,1.0,350.591,0.0,1.0,6.0,40.58,-5.67,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,[681]
Isazofos,-3.76,1.0,313.747,0.0,1.0,7.0,58.4,-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,[226]
,-3.9574227333068848,1.0,267.93707275390625,0.0,1.7694039344787598,3.9669294357299805,44.00754928588867,-4.060976505279541,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,"[260, 500]"
Disulfoton,-3.975,1.0,274.413,0.0,0.0,9.0,18.46,-4.23,CCOP(=S)(OCC)SCCSCC,[960]
Terbufos,-4.367,1.0,288.44,0.0,0.0,7.0,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,[31]
Phorate,-3.747,1.0,260.386,0.0,0.0,8.0,18.46,-4.11,CCOP(=S)(OCC)SCSCC,[22]
Ethion,-5.471,1.0,384.4870000000002,0.0,0.0,12.0,36.92,-5.54,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,[700]
Carbophenthion,-5.827999999999999,1.0,342.875,0.0,1.0,8.0,18.46,-5.736000000000001,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,[218]
Phosalone,-5.024,1.0,367.8160000000001,0.0,2.0,7.0,53.6,-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,[486]
Etofenprox,-6.896,1.0,376.496,0.0,3.0,9.0,27.69,-8.6,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,[181]
Phenacetin,-2.342,1.0,179.219,1.0,1.0,3.0,38.33,-2.35,CCOc1ccc(N=C(C)O)cc1,[23]
Dulcin,-2.167,1.0,180.207,2.0,1.0,3.0,64.35,-2.17,CCOc1ccc(NC(=N)O)cc1,[311]
Ethoxyzolamide,-3.085,1.0,258.324,1.0,2.0,3.0,82.28,-3.81,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,[401]
Phenetole,-2.66,1.0,122.16699999999996,0.0,1.0,2.0,9.23,-2.33,CCOc1ccccc1,[737]
Ethanethiol,-0.968,1.0,62.137,1.0,0.0,0.0,0.0,-0.6,CCS,[277]
Butylate,-3.4530000000000003,1.0,217.378,0.0,0.0,5.0,20.31,-3.68,CCSC(=O)N(CC(C)C)CC(C)C,[617]
cycloate,-3.35,1.0,215.362,0.0,1.0,3.0,20.31,-3.4,CCSC(=O)N(CC)C1CCCCC1,[270]
Diethyl sulfide,-1.598,1.0,90.191,0.0,0.0,2.0,0.0,-1.34,CCSCC,[436]
Thiometon,-3.323,1.0,246.359,0.0,0.0,7.0,18.46,-3.091,CCSCCSP(=S)(OC)OC,[1125]
ethiofencarb,-2.855,1.0,225.313,1.0,1.0,4.0,38.33,-2.09,CCSCc1ccccc1OC(O)=NC,[132]
Diethyldisulfide,-2.364,1.0,122.258,0.0,0.0,3.0,0.0,-2.42,CCSSCC,[565]
Nitroethane,-0.462,1.0,75.067,0.0,0.0,1.0,43.14,-0.22,CC[N+](=O)[O-],[168]
4-Ethyltoluene,-3.3280000000000003,1.0,120.19499999999996,0.0,1.0,1.0,0.0,-3.11,CCc1ccc(C)cc1,[697]
"1,4-Diethylbenzene ",-3.633,1.0,134.22199999999998,0.0,1.0,2.0,0.0,-3.75,CCc1ccc(CC)cc1,[30]
2-Ethylnaphthalene,-4.1,1.0,156.22799999999998,0.0,2.0,1.0,0.0,-4.29,CCc1ccc2ccccc2c1,[584]
Metolachlor,-3.431,1.0,283.7989999999999,0.0,1.0,6.0,29.54,-2.73,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,[480]
alachlor,-3.319,1.0,269.77199999999993,0.0,1.0,6.0,29.54,-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl,[362]
1-Ethylnaphthalene ,-4.1,1.0,156.22799999999998,0.0,2.0,1.0,0.0,-4.17,CCc1cccc2ccccc12,[104]
Ethylbenzene,-2.988,1.0,106.16799999999996,0.0,1.0,1.0,0.0,-2.77,CCc1ccccc1,[897]
2-Ethyltoluene,-3.2960000000000003,1.0,120.19499999999996,0.0,1.0,1.0,0.0,-3.21,CCc1ccccc1C,[283]
"1,2-Diethylbenzene",-3.6010000000000004,1.0,134.22199999999998,0.0,1.0,2.0,0.0,-3.28,CCc1ccccc1CC,[84]
2-Ethyl pyridine,-2.051,1.0,107.15599999999998,0.0,1.0,1.0,12.89,0.51,CCc1ccccn1,[868]
Iodomethane,-1.646,1.0,141.939,0.0,0.0,0.0,0.0,-1.0,CI,[173]
Mefenacet,-4.504,1.0,298.367,0.0,3.0,4.0,42.43000000000001,-4.873,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,[398]
Methyldymron,-3.863,1.0,268.36,1.0,2.0,3.0,32.34,-3.35,CN(C(O)=NC(C)(C)c1ccccc1)c1ccccc1,[394]
diphenamid,-3.147,1.0,239.318,0.0,2.0,3.0,20.31,-2.98,CN(C)C(=O)C(c1ccccc1)c1ccccc1,[721]
tetramethylurea,-0.495,1.0,116.164,0.0,0.0,0.0,23.550000000000004,0.94,CN(C)C(=O)N(C)C,[1082]
Monuron,-2.6710000000000003,1.0,198.653,1.0,1.0,1.0,32.34,-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1,[264]
Chloroxuron,-4.477,1.0,290.75,1.0,2.0,3.0,41.57000000000001,-4.89,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,[1021]
dimetan,-2.3040000000000003,1.0,211.261,0.0,1.0,1.0,46.61,-0.85,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,[829]
Fenothiocarb,-3.297,1.0,253.367,0.0,1.0,6.0,29.540000000000003,-3.927,CN(C)C(=O)SCCCCOc1ccccc1,[37]
Thiram,-2.444,1.0,240.444,0.0,0.0,0.0,6.48,-3.9,CN(C)C(=S)SSC(=S)N(C)C,[1060]
Norea,-2.47,1.0,222.332,1.0,3.0,1.0,32.34,-3.1710000000000003,CN(C)C(O)=NC1CC2CC1C1CCCC21,[708]
Cycluron,-2.629,1.0,198.30999999999992,1.0,1.0,1.0,32.34,-2.218,CN(C)C(O)=NC1CCCCCCC1,[987]
Dimefuron,-3.831,1.0,338.79500000000013,1.0,2.0,2.0,80.37,-4.328,CN(C)C(O)=Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,[360]
Diuron,-3.301,1.0,233.098,1.0,1.0,1.0,32.34,-3.8,CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1,[731]
Fluometuron,-3.065,1.0,232.205,1.0,1.0,1.0,32.34,-3.43,CN(C)C(O)=Nc1cccc(C(F)(F)F)c1,[338]
karbutilate,-2.655,1.0,279.34,2.0,1.0,2.0,70.67,-2.93,CN(C)C(O)=Nc1cccc(OC(O)=NC(C)(C)C)c1,[597]
Fenuron,-1.847,1.0,164.208,1.0,1.0,1.0,32.34,-1.6,CN(C)C(O)=Nc1ccccc1,[348]
"N,N-Dimethylaniline",-2.542,1.0,121.18299999999996,0.0,1.0,1.0,3.24,-1.92,CN(C)c1ccccc1,[1001]
