logS,standardised_smiles,Identifier
,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,"[439, 2754]"
,Cc1nc2ccccc2[nH]1,"[1029, 2658]"
,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,"[431, 2311]"
-1.063,Cc1occc(=O)c1O,[2148]
-3.567,ClC(Cl)(Cl)c1ccccc1,[1815]
-6.36,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,[831]
-4.23,ClC(Cl)=CC(Cl)=C(Cl)Cl,[1206]
-2.809,ClC(Cl)c1ccccc1,[1827]
,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,"[779, 1586]"
,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,"[1261, 2801]"
-2.045,ClC=CCCl,[2512]
,ClC=CCl,"[976, 2503]"
,ClCC(Br)CBr,"[423, 1791]"
-1.92,ClCC(Cl)CCl,[1025]
-0.147,ClCC1CO1,[1947]
,ClCCCBr,"[1020, 2043]"
,ClCCOCCCl,"[963, 2098]"
-0.996,ClCCOCCOCCCl,[2115]
-2.363,ClCCSCCCl,[2448]
-7.662000000000001,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,[2149]
-9.703,Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,[2894]
-12.06,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,[2953]
-8.708,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,[3137]
-7.795,Clc1c(Cl)c(Cl)c2ccccc2c1Cl,[3092]
-10.26,Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,[1288]
-8.85,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,[3143]
,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,"[1273, 3151]"
-7.92,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,[863]
-7.93,Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,[3186]
,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,"[1281, 3162]"
,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,"[821, 3164]"
,Clc1cc(Cl)c(-c2ccccc2)cc1Cl,"[826, 3068]"
-10.41,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,[1289]
-7.822,Clc1cc(Cl)c(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,[3231]
-7.534,Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,[3200]
-7.822999999999999,Clc1cc(Cl)c2cc(Cl)cc(Cl)c2c1,[3236]
-6.556,Clc1cc(Cl)c2cc(Cl)ccc2c1,[3246]
-4.98,Clc1cc(Cl)c2nsnc2c1Cl,[768]
-8.27,Clc1cc(Cl)cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,[3288]
-7.516,Clc1cc2c(Cl)ccc(Cl)c2cc1Cl,[3247]
-7.857,Clc1cc2c(Cl)cccc2c(Cl)c1Cl,[3235]
-11.248,Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,[3167]
-10.949000000000002,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,[3198]
-9.207,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,[2844]
-6.357,Clc1cc2ccccc2cc1Cl,[2878]
-8.646,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,[3219]
-7.66,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,[858]
-7.65,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,[3185]
-7.95,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,[3183]
-7.77,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1,[3142]
,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,"[853, 3138]"
,Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,"[860, 3139]"
-8.71,Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,[3141]
-6.875,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1,[3146]
,Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,"[1265, 2914]"
,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,"[1260, 3017]"
,Clc1ccc(-c2ccccc2)c(Cl)c1,"[786, 3150]"
,Clc1ccc(-c2ccccc2)cc1,"[1244, 2882]"
-6.49,Clc1ccc(-c2ccccc2Cl)c(Cl)c1,[3177]
,Clc1ccc(-c2ccccc2Cl)cc1Cl,"[828, 3194]"
,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,"[1266, 2764]"
-7.19,Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,[3182]
,Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,"[1285, 3188]"
-6.8,Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,[841]
,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,"[1290, 3178]"
,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,"[1271, 3165]"
,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,"[1277, 3184]"
-5.299,Clc1ccc(Cl)c(-c2ccccc2)c1,[3159]
,Clc1ccc(Cl)c(-c2ccccc2)c1Cl,"[1263, 3245]"
,Clc1ccc(Cl)c(-c2ccccc2Cl)c1,"[1257, 3176]"
-5.803,Clc1ccc(Cl)c2ccccc12,[2847]
-4.793,Clc1ccc(Oc2ccccc2)cc1,[3016]
-9.473,Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,[3201]
-8.874,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,[3273]
-5.836,Clc1ccc2c(c1)Oc1ccccc1O2,[3199]
-5.922000000000001,Clc1ccc2ccc(Cl)cc2c1,[2891]
-6.78,Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,[3230]
,Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,"[1282, 3240]"
-7.05,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,[1272]
,Clc1cccc(-c2cccc(Cl)c2)c1,"[1254, 2875]"
-5.35,Clc1cccc(-c2ccccc2)c1Cl,[3075]
-5.585,Clc1cccc(-c2ccccc2Cl)c1,[3121]
-5.716,Clc1cccc2c(Cl)cccc12,[2846]
-5.796,Clc1cccc2cccc(Cl)c12,[2877]
-7.43,Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,[857]
-5.9,Clc1ccccc1-c1c(Cl)cccc1Cl,[3189]
-7.21,Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl,[848]
-6.83,Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,[3229]
-5.944,Clc1ccccc1-c1cccc(Cl)c1Cl,[3191]
-0.754,Clc1ccccn1,[2030]
-0.87,Clc1cnc2cncnc2n1,[156]
-4.537,Clc1nc(Cl)[nH]c(=Nc2ccccc2Cl)n1,[1882]
-1.56,Cn1c(O)nc2[nH]c(O)nc2c1=O,[256]
-0.15,Cn1cc(O)[nH]c1=N,[1433]
,Cn1ccccc1=O,"[18, 2749]"
-1.901,FC(Br)C(F)(F)F,[2233]
-3.189,FC(Cl)(Cl)C(F)(Cl)Cl,[1567]
-2.096,FC(Cl)(Cl)Cl,[1552]
-0.738,FC(Cl)Cl,[1543]
-2.635,FC(F)(Cl)Cl,[1553]
-2.668,FC(F)(F)Br,[1549]
-4.518,FC(F)(F)C(F)(F)C(F)(F)F,[1571]
-3.411,FC(F)(F)C(F)(F)Cl,[1570]
-3.065,FC(F)(F)Cl,[1554]
-8.4,FC(F)(F)c1cccc(C(c2ccccc2)(c2ccccc2)n2cncn2)c1,[869]
-1.494,FC(F)Cl,[1544]
-1.233,FC(F)F,[1545]
-1.616,FC(F)OC(Cl)C(F)(F)F,[3126]
-1.516,FC(F)OC(F)(F)C(F)Cl,[3048]
-3.638,FC1(F)C(F)(F)C(F)(F)C1(F)F,[2133]
,Fc1cc(F)c(F)c(F)c1,"[402, 2905]"
,Fc1cc(F)c(F)cc1F,"[1073, 2372]"
,Fc1ccc(CCl)cc1,"[451, 2382]"
,Fc1ccc(I)cc1,"[548, 2383]"
-2.544,Fc1cccc(CCl)c1,[2404]
-2.541,Fc1ccccc1CCl,[2380]
-2.416,Fc1ccccc1Cl,[2381]
-2.0,Fc1ccccc1F,[2388]
-3.22,IC=CI,[563]
-3.216,ICCI,[2687]
-3.46,Ic1[nH]c(I)c(I)c1I,[1153]
-5.372000000000001,Ic1ccc(I)cc1,[2685]
-4.518,Ic1cccc(I)c1,[2698]
-4.217,Ic1ccccc1I,[2661]
0.304,N#CCC#N,[2046]
0.1889999999999999,N#CCC(=N)O,[1975]
0.204,N#CCCC#N,[2071]
1.026,N#CCCCC#N,[2516]
-0.131,N#CCCCCC#N,[2102]
-6.13,N#CCCN(CCO)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[3011]
,N#Cc1c(Cl)cccc1Cl,"[698, 2815]"
-3.98,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,[661]
-1.51,N=C(N)NCC(=O)O,[240]
0.019,N=C(N)NCCCC(N)C(=O)O,[1508]
-1.37,N=C(N)N[N+](=O)[O-],[219]
-0.74,N=C(O)CC(N)C(=O)O,[134]
,N=C(O)CCC(N)C(=O)O,"[109, 1382]"
1.113,N=C(O)CF,[2735]
-1.641,N=C(O)COC(=O)c1ccccc1,[3265]
,N=C(O)NO,"[4, 2243]"
-1.284,N=C(O)OCC(Cl)(Cl)Cl,[1971]
-0.35,N=C(O)OCc1ccccc1,[912]
-1.843,N=C(O)c1c(Cl)cccc1Cl,[2867]
-2.92,N=C(O)c1ccccc1C(=N)O,[516]
-2.528,N=C(S)Nc1cccc2ccccc12,[1672]
-2.336,N=C(S)c1c(Cl)cccc1Cl,[2861]
1.346,N=CO,[1528]
-1.179,N=c1[nH]c(=N)[nH]c(=NC2CC2)[nH]1,[3270]
-2.805,N=c1[nH]cc(S(=O)(=O)c2ccc(N)cc2)s1,[2417]
-2.494,N=c1nc(-c2ccccc2)[nH]c(=N)[nH]1,[1731]
-0.318,NC(CC(=O)O)C(=O)O,[1381]
-1.235,NC(CCC(=O)O)C(=O)O,[1383]
,NC(Cc1c[nH]c2ccccc12)C(=O)O,"[201, 1503]"
-2.86,NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,[507]
-5.22,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,[783]
,NC(Cc1ccc(O)c(O)c1)C(=O)O,"[1007, 1428]"
,NC(Cc1ccc(O)cc1)C(=O)O,"[1090, 1432]"
,NC(Cc1cnc[nH]1)C(=O)O,"[107, 1491]"
-0.412,NC1(C(=O)O)CCCC1,[1349]
1.004,NC1CCCCC1,[2018]
0.521,NCC(=O)O,[1373]
-0.51,NCC(O)=NCC(O)=NCC(=O)O,[2539]
-0.48,NCC(O)c1ccccc1,[102]
0.026,NCC1CCC(C(=O)O)CC1,[2816]
-0.5,NCCC(=O)C(O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,[105]
0.787,NCCC(=O)O,[1977]
1.101,NCCCC(=O)O,[1368]
0.585,NCCCCCC(=O)O,[1435]
-2.7,NCCCCCCCCCCC(=O)O,[484]
0.935,NCCCCCCN,[2226]
0.835,NCCNCCNCCN,[2113]
0.723,NCCNCCNCCNCCN,[2123]
-1.969,NCCNc1cccc2ccccc12,[2526]
1.214,NCCO,[2291]
-0.191,NCCS(=O)(=O)O,[1970]
,NCCc1ccc(O)cc1,"[186, 1341]"
,NCc1ccccc1,"[245, 1868]"
1.013,NCc1ccco1,[2671]
-2.33,NNC(O)=Nc1ccccc1,[408]
,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,"[1161, 1361]"
-3.043,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,[2270]
-3.018,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O,[3301]
-3.552,NS(=O)(=O)c1cc2c(s1)SCCC2=O,[3300]
-1.654,NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)c(F)c1,[3318]
-1.589,NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)cc1,[3310]
-1.934,NS(=O)(=O)c1ccc(S(=O)(=O)CCO)c(F)c1,[3317]
-1.604,NS(=O)(=O)c1ccc(S(=O)(=O)CCO)cc1,[3306]
-2.662,NS(=O)(=O)c1ccc(SCCCCCO)cc1,[3309]
-2.446,NS(=O)(=O)c1ccc(SCCCCO)c(F)c1,[3316]
-2.47,NS(=O)(=O)c1ccc(SCCCO)c(F)c1,[3315]
-3.466,NS(=O)(=O)c1ccc(SCCCO)c([N+](=O)[O-])c1,[3313]
-2.247,NS(=O)(=O)c1ccc(SCCCO)cc1,[3307]
-1.622,NS(=O)(=O)c1ccc(SCCO)c(F)c1,[3314]
-2.7460000000000004,NS(=O)(=O)c1ccc(SCCO)c([N+](=O)[O-])c1,[3312]
-1.824,NS(=O)(=O)c1ccc(SCCO)cc1,[3305]
,NS(=O)(=O)c1ccccc1,"[1002, 1817]"
,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,"[493, 2860]"
-3.691,Nc1c(Cl)cc(Cl)cc1Cl,[2730]
-4.471,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,[1839]
-5.025,Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,[3285]
,Nc1cc(Cl)cc(C(=O)O)c1Cl,"[442, 2267]"
-2.315,Nc1cc(Cl)cc(Cl)c1,[2701]
-2.153,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,[1801]
-3.5580000000000003,Nc1cc([N+](=O)[O-])ccc1Br,[3031]
-4.638999999999999,Nc1ccc(-c2ccc(Cl)cc2)cc1,[2272]
,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,"[762, 1732]"
-1.957,Nc1ccc(C(=O)O)c(O)c1,[1467]
,Nc1ccc(C(=O)O)cc1,"[917, 2321]"
-4.515,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,[2264]
,Nc1ccc(Cc2ccc(N)cc2)cc1,"[1065, 1886]"
,Nc1ccc(Cl)c(Cl)c1,"[565, 1785]"
-2.417,Nc1ccc(Cl)cc1Cl,[2532]
-5.859,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,[2248]
,Nc1ccc(N)cc1,"[90, 1942]"
-3.181,Nc1ccc(N=Nc2ccccc2)cc1,[1429]
,Nc1ccc(S(=O)(=O)N=c2cc[nH]n2-c2ccccc2)cc1,"[406, 2468]"
-4.603,Nc1ccc(S(=O)(=O)N=c2cnc3ccccc3[nH]2)cc1,[1421]
-3.7,Nc1ccc(S(=O)(=O)N=c2cncc[nH]2)cc1,[638]
-2.7,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,[1104]
-3.51,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,[608]
,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[436, 1497]"
-2.597,Nc1ccc(S(=O)(=O)c2ccc(NCCO)cc2)cc1,[1628]
-5.916,Nc1ccc2ccccc2c1N=Nc1ccccc1,[1665]
-1.366,Nc1cccc(C(=O)O)c1,[1833]
-1.47,Nc1cccc(C(F)(F)F)c1,[993]
0.3429999999999999,Nc1cccc(N)c1,[1997]
-0.607,Nc1cccc(O)c1,[2607]
-2.619,Nc1cccc2c(N)cccc12,[2897]
-2.27,Nc1cccc2cccc(N)c12,[2421]
,Nc1ccccc1C(=O)O,"[243, 2153]"
,Nc1ccccc1N,"[95, 1779]"
-1.57,Nc1ncnc2c1ncn2C1(CO)OC(CO)C(O)C1O,[2853]
-5.124,O=C(C(Cl)Cl)N(CCO)Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,[2962]
0.207,O=C(C(O)C(O)O)C(O)C(O)CO,[2471]
0.301,O=C(C(O)CO)C(O)C(O)CO,[1683]
-2.893,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,[3242]
,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,"[1220, 1352]"
-2.64,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,[1441]
,O=C(N=C(O)c1ccccc1)c1ccccc1,"[1058, 2655]"
-3.683,O=C(NN=Cc1ccccc1O)c1ccncc1,[2434]
0.873,O=C(O)C(=O)CC(O)O,[3013]
0.38,O=C(O)C(=O)O,[896]
-0.93,O=C(O)C(CO)c1ccccc1,[949]
0.519,O=C(O)C(Cl)(Cl)Cl,[1565]
0.89,O=C(O)C(Cl)Cl,[1626]
,O=C(O)C(O)(c1ccccc1)c1ccccc1,"[386, 1578]"
0.075,O=C(O)C(O)c1ccccc1,[1719]
,O=C(O)C(c1ccccc1)c1ccccc1,"[562, 2143]"
-4.1610000000000005,O=C(O)C1(O)c2ccccc2-c2ccc(Cl)cc21,[2916]
-0.27,O=C(O)C1C2CCC(O2)C1C(=O)O,[82]
-0.065,O=C(O)C1CC(=O)C(O)C(O)C1,[2280]
,O=C(O)C1CCCCC1,"[990, 1828]"
0.148,O=C(O)C1CCCN1,[2313]
0.4579999999999999,O=C(O)C=C(CC(=O)O)C(=O)O,[2437]
-2.852,O=C(O)C=CC=CC(=O)O,[2449]
,O=C(O)C=Cc1ccccc1,"[444, 2285]"
-1.839,O=C(O)C=Cc1ccco1,[2496]
,O=C(O)C=Cc1cnc[nH]1,"[341, 1912]"
0.865,O=C(O)CC(=O)O,[2296]
0.275,O=C(O)CC(CC(=O)O)C(=O)O,[1837]
0.077,O=C(O)CC(Cl)C(=O)O,[3073]
,O=C(O)CC(O)(CC(=O)O)C(=O)O,"[893, 1591]"
,O=C(O)CCC(=O)O,"[78, 2060]"
-0.847,O=C(O)CCC(=O)OOC(=O)CCC(=O)O,[2204]
,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,"[774, 3168]"
1.0,O=C(O)CCCC(=O)O,"[15, 2083]"
,O=C(O)CCCCC(=O)O,"[941, 2224]"
-3.0460000000000003,O=C(O)CCCCC1SCC2N=C(O)NC21,[1414]
-0.506,O=C(O)CCCCCC(=O)O,[2089]
-1.169,O=C(O)CCCCCCC(=O)O,[2446]
,O=C(O)CCCCCCCC(=O)O,"[324, 2222]"
-2.306,O=C(O)CCCCCCCCC(=O)O,[2091]
-3.699,O=C(O)CCCCCCCCCCBr,[2940]
-3.76,O=C(O)CCCCCCCCCCC(=O)O,[2746]
-2.212,O=C(O)CCCCCCCCCCCC(=O)O,[2447]
,O=C(O)CCCOc1ccc(Cl)cc1Cl,"[632, 1767]"
,O=C(O)CCI,"[922, 2293]"
-0.68,O=C(O)CCSCCC(=O)O,[2090]
,O=C(O)CCc1ccccc1,"[228, 2441]"
,O=C(O)CCl,"[19, 1617]"
,O=C(O)CN=C(O)c1ccccc1,"[1013, 2433]"
-3.013,O=C(O)COc1c(Cl)cc(Cl)cc1Cl,[2566]
-2.62,O=C(O)COc1c(Cl)ccc(Cl)c1Cl,[2973]
,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,"[1119, 1751]"
-2.685,O=C(O)COc1ccc(Cl)c(Cl)c1,[2589]
,O=C(O)COc1ccc(Cl)cc1,"[1062, 2196]"
,O=C(O)COc1ccc(Cl)cc1Cl,"[446, 1765]"
-2.809,O=C(O)COc1cccc(Cl)c1Cl,[2945]
,O=C(O)COc1ccccc1,"[183, 2194]"
,O=C(O)COc1ccccc1Cl,"[375, 2656]"
-2.766,O=C(O)COc1nc(Cl)c(Cl)cc1Cl,[3244]
1.036,O=C(O)CS,[1482]
,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,"[1130, 1659]"
,O=C(O)Cc1c[nH]c2ccccc12,"[356, 1678]"
,O=C(O)Cc1cccc2ccccc12,"[475, 1671]"
,O=C(O)Cc1ccccc1,"[160, 1900]"
-2.61,O=C(O)Cn1c(=O)sc2cccc(Cl)c21,[465]
-1.467,O=C(O)c1c(Cl)ccc(Cl)c1Cl,[1323]
-1.207,O=C(O)c1c(O)cccc1O,[2366]
-3.417,O=C(O)c1c2ccccc2cc2ccccc12,[2753]
-3.193,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,[2258]
-1.259,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,[1704]
-3.114,O=C(O)c1cc(Cl)cc(Cl)c1,[1338]
-1.319,O=C(O)c1cc(Cl)ccc1[N+](=O)[O-],[2921]
-3.31,O=C(O)c1cc(I)cc(I)c1O,[579]
,O=C(O)c1cc(O)c(O)c(O)c1,"[965, 2320]"
-2.482,O=C(O)c1cc(O)cc(C(=O)O)c1,[2673]
-1.489,O=C(O)c1cc(O)ccc1O,[2430]
,O=C(O)c1cc(O)nc(O)n1,"[335, 1470]"
-2.196,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,[1840]
-3.525,O=C(O)c1ccc(Br)cc1,[2586]
-1.0,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,[2475]
-2.13,O=C(O)c1ccc(C(=O)O)nc1,[1863]
-3.495,O=C(O)c1ccc(Cl)c(Cl)c1,[1339]
,O=C(O)c1ccc(Cl)cc1,"[580, 1507]"
-2.603,O=C(O)c1ccc(Cl)cc1Cl,[1334]
-2.067,O=C(O)c1ccc(F)cc1,[2403]
-0.928,O=C(O)c1ccc(O)c(O)c1,[1843]
-2.231,O=C(O)c1ccc(O)c(O)c1O,[2648]
,O=C(O)c1ccc(O)cc1,"[986, 1854]"
-1.501,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,[2476]
,O=C(O)c1ccc([N+](=O)[O-])cc1,"[1111, 1446]"
-1.067,O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],[2649]
-3.564,O=C(O)c1ccc2ccccc2c1,[1742]
-2.699,O=C(O)c1cccc(Br)c1,[2584]
-3.22,O=C(O)c1cccc(C(=O)O)c1,[2185]
,O=C(O)c1cccc(Cl)c1,"[460, 2487]"
-2.632,O=C(O)c1cccc(Cl)c1[N+](=O)[O-],[2981]
-1.97,O=C(O)c1cccc(F)c1,[2402]
,O=C(O)c1cccc(I)c1,"[572, 2672]"
-1.28,O=C(O)c1cccc(O)c1,[1834]
,O=C(O)c1cccc([N+](=O)[O-])c1,"[283, 2186]"
-1.021,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,[2642]
-2.149,O=C(O)c1cccc([N+](=O)[O-])c1O,[1660]
,O=C(O)c1ccccc1,"[249, 1469]"
,O=C(O)c1ccccc1-c1ccccc1C(=O)O,"[1061, 2425]"
,O=C(O)c1ccccc1C(=O)O,"[366, 1702]"
-1.6,O=C(O)c1ccccc1C(F)(F)F,[265]
-3.1630000000000003,O=C(O)c1ccccc1C(O)=Nc1cccc2ccccc12,[2261]
-3.263,O=C(O)c1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,[1639]
,O=C(O)c1ccccc1Cl,"[1023, 2152]"
-1.289,O=C(O)c1ccccc1F,[2399]
,O=C(O)c1ccccc1I,"[488, 1694]"
,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,"[712, 2479]"
,O=C(O)c1ccccc1O,"[311, 1488]"
0.3929999999999999,O=C(O)c1ccccc1S(=O)(=O)O,[2727]
-1.328,O=C(O)c1ccccc1[N+](=O)[O-],[2527]
,O=C(O)c1cccnc1,"[148, 1426]"
-1.182,O=C(O)c1cccnc1C(=O)O,[1703]
-4.17,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,[1205]
,O=C(O)c1ccco1,"[925, 1692]"
-1.827,O=C(O)c1ccnc(C(=O)O)c1,[2439]
-1.374,O=C(O)c1ccncc1,[1365]
-1.854,O=C(O)c1ccncc1C(=O)O,[2429]
,O=C(O)c1ccsc1,"[235, 1691]"
-1.938,O=C(O)c1cnc(O)nc1O,[3111]
-2.283,O=C(O)c1nc(Cl)ccc1Cl,[2839]
-2.494,O=C(O)c1nc[nH]c1C(=O)O,[2561]
-5.363,O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,[3135]
-4.425,O=C(OOC(=O)c1ccccc1)c1ccccc1,[1762]
,O=C(Oc1ccccc1)c1ccccc1O,"[555, 2147]"
-1.72,O=C(c1ccc(O)c(O)c1)c1c(O)cc(O)cc1O,[2465]
-1.704,O=C(c1ccccc1O)N1CCOCC1,[2952]
,O=C1C(=NC(=O)C(Cl)Cl)C(Cl)C(=O)c2ccccc21,"[770, 3128]"
-4.382,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,[2144]
,O=C1C=CC(=O)C=C1,"[171, 1943]"
-1.73,O=C1C=CC(O)(c2cc(O)ccc2O)C=C1,[292]
,O=C1C=Cc2c(c(O)c3ccccc3c2O)C1=O,"[1109, 1500]"
,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,"[583, 1389]"
,O=C1CCCO1,"[879, 1799]"
-2.07,O=C1CCN2C1Nc1ccccc1C2O,[355]
0.711,O=C1CCO1,[1397]
,O=C1OC(=O)c2ccccc21,"[983, 1662]"
-5.037,O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,[3127]
-6.209,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,[3027]
-0.691,O=CC(Cl)(Cl)Cl,[1558]
-1.969,O=CC=Cc1ccccc1,[1908]
1.337,O=CO,[1460]
-2.827,O=Cc1ccc(C=O)cc1,[2681]
-0.441,O=Cc1ccc(O)c(O)c1,[2283]
-2.949,O=Cc1ccc(O)c([N+](=O)[O-])c1,[2946]
-1.81,O=Cc1ccc([N+](=O)[O-])cc1,[2537]
-0.647,O=Cc1cccc(O)c1,[1881]
-1.967,O=Cc1cccc([N+](=O)[O-])c1,[1845]
-0.86,O=Cc1ccccc1O,[155]
-1.814,O=Cc1ccccc1[N+](=O)[O-],[2529]
-1.7280000000000002,O=NN(CCCl)C(O)=NCCCl,[2326]
,O=NN(c1ccccc1)c1ccccc1,"[643, 1666]"
0.999,O=NN1CCCC1,[2784]
,O=NN1CCCCC1,"[74, 1879]"
-1.001,O=NN1CCCCCC1,[2785]
0.935,O=NN1CCOCC1,[1427]
-2.238,O=Nc1c(O)ccc2ccccc12,[2256]
-2.54,O=Nc1ccc2ccccc2c1O,[2257]
-4.789,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,[3044]
-5.235,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,[2137]
-0.815,O=P1(N(CCCl)CCCl)NCCCO1,[1317]
-1.5,O=S(=O)(CCCl)CCCl,[239]
0.754,O=S(=O)(O)CS(=O)(=O)O,[2444]
-0.06,O=S(=O)(O)OCCOc1ccc(Cl)cc1Cl,[2316]
-2.244,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,[2520]
